gauge	istat	jstat
34214	602	931
34811	602	931
34812	637	959
34813	637	959
35001	616	1007
35002	633	997
35003	636	990
35004	636	992
35009	642	973
35010	613	1003
35011	615	1008
35013	640	974
35014	627	1008
35823	647	972
35825	610	993
36001	605	1016
36002	585	1003
36003	598	1012
36004	588	1005
36005	603	1008
36006	602	1016
36007	585	1009
36008	584	1004
36009	592	998
36010	569	1009
36011	570	1006
36012	571	1006
36013	603	1014
36015	590	1014
36016	620	1022
37001	542	1063
37002	579	1041
37003	579	1040
37004	584	1041
37005	598	1025
37006	570	1043
37007	569	1044
37008	571	1042
37009	582	1035
37010	585	1035
37011	563	1027
37012	577	1013
37013	576	1045
37014	557	1046
37015	555	1047
37016	567	1019
37017	580	1026
37018	556	1064
37019	552	1064
37020	567	1030
37021	599	1030
37022	618	1029
37023	544	1055
37024	586	1021
37025	583	1023
37026	608	1030
37027	607	1030
37028	611	1031
37030	617	1029
37031	575	1057
37033	587	1061
37034	561	1070
37036	565	1015
37038	567	1051
37039	584	1041
37816	584	1041
38001	540	1041
38002	540	1036
38003	528	1037
38004	537	1033
38005	539	1036
38006	534	1036
38007	543	1040
38011	523	1034
38012	528	1029
38013	512	1032
38014	535	1057
38017	518	1029
38018	530	1041
38020	539	1050
38021	536	1052
38023	536	1061
38024	537	1051
38026	551	1038
38028	552	1026
38029	540	1025
38030	532	1037
38031	540	1040
38032	537	1064
38033	512	1032
38815	543	1040
38818	540	1040
39001	518	1081
39002	458	1056
39003	527	1081
39004	531	1085
39005	522	1079
39006	441	1048
39007	474	1086
39008	445	1043
39009	491	1070
39010	506	1063
39011	488	1107
39012	519	1082
39013	513	1051
39014	516	1048
39015	474	1098
39016	465	1080
39017	469	1029
39018	448	1054
39019	447	1082
39020	412	1044
39021	449	1032
39022	472	1086
39023	491	1063
39024	529	1110
39025	458	1085
39026	446	1009
39027	464	1075
39028	433	1082
39029	501	1103
39030	509	1055
39031	441	1077
39032	439	1075
39033	446	1080
39034	445	1040
39035	407	1054
39036	505	1104
39037	418	1082
39038	467	1045
39039	485	1057
39040	409	1056
39042	424	1050
39043	430	1079
39044	476	1091
39046	451	1056
39049	522	1062
39051	449	1016
39052	486	1080
39053	528	1107
39054	526	1112
39056	538	1077
39057	511	1072
39058	537	1078
39065	466	1060
39068	519	1100
39069	527	1105
39071	401	1053
39072	498	1072
39073	403	1047
39074	410	1054
39076	430	1039
39077	420	1080
39078	483	1105
39079	507	1087
39081	448	1054
39082	529	1080
39084	524	1062
39085	527	1081
39086	529	1109
39087	412	1058
39088	507	1055
39089	506	1044
39090	422	1054
39091	498	1054
39092	525	1060
39093	521	1065
39094	515	1077
39095	540	1075
39096	519	1064
39097	423	1052
39098	507	1067
39099	408	1049
39100	399	1058
39101	429	1078
39102	504	1063
39103	447	1083
39104	515	1083
39105	462	1046
39106	517	1094
39107	523	1088
39109	409	1038
39110	416	1048
39111	504	1079
39114	454	1077
39115	455	1080
39117	502	1077
39118	471	1111
39119	472	1111
39120	473	1112
39121	509	1084
39122	501	1105
39123	489	1096
39125	511	1038
39126	510	1039
39127	493	1052
39128	506	1086
39129	444	1045
39130	471	1076
39131	516	1068
39132	532	1085
39134	542	1082
39135	542	1079
39137	509	1065
39138	479	1074
39139	453	1044
39140	454	1037
39141	500	1102
39142	416	1030
39143	419	1031
39144	447	1014
39145	512	1066
39148	491	1068
39809	484	1036
39850	490	1064
40001	541	1116
40002	572	1130
40003	572	1097
40004	578	1126
40005	576	1103
40006	564	1101
40007	552	1110
40008	605	1104
40009	572	1112
40010	552	1107
40011	611	1095
40012	556	1079
40013	553	1092
40014	628	1093
40015	606	1089
40016	552	1076
40017	569	1126
40018	553	1086
40020	553	1114
40021	581	1121
40022	599	1108
40023	603	1110
40025	581	1133
40026	589	1125
40027	617	1088
40029	577	1095
40032	568	1124
40033	630	1107
40803	552	1110
40820	575	1096
40822	551	1105
41001	567	1138
41002	569	1136
41003	554	1144
41004	543	1136
41005	543	1128
41006	546	1131
