Day,Inun
6241,4885
6242,6354
6243,5637
6244,5445
6245,4035
6246,3278
6247,3810
6248,3669
6249,1754
6250,356
6258,1080
6259,383
6261,217
6262,350
6281,1768
6282,2145
6283,1260
6284,221
6285,230
6301,1357
6302,1932
6303,282
6304,2175
6305,2890
6306,990
6307,258
6332,328
6333,374
6334,766
6335,637
6336,533
6337,369
6338,1349
6339,2878
6340,2729
6341,1482
6342,534
6343,257
6388,261
6389,275
6393,472
6405,201
6529,1013
6532,320
6533,1475
6534,2641
6535,4261
6536,4284
6537,7102
6538,2722
6539,4040
6540,5243
6541,3104
6542,1580
6543,1609
6544,2725
6545,1622
6546,2180
6547,1095
6548,523
6556,224
6557,707
6558,506
6559,256
6598,313
6599,2159
6600,1701
6601,262
6606,698
6607,574
6608,649
6609,1248
6610,2126
6611,1035
6612,374
6619,1811
6620,6222
6621,2080
6622,1033
6623,3729
6624,3853
6625,1693
6626,643
6627,847
6631,313
6632,852
6633,210
6664,721
6665,1333
6666,2208
6667,826
6668,458
6669,400
6670,547
6671,430
6672,634
6673,1484
6674,775
6675,264
6758,219
6763,246
6825,745
6826,536
6865,215
6866,1192
6867,1255
6868,930
6877,296
6878,1019
6879,4004
6880,1433
6881,572
6882,231
6901,246
6902,554
6909,470
6913,1378
6914,440
6936,1486
6937,2326
6938,3265
6939,3175
6940,1987
6941,2553
6942,420
6943,405
6944,3054
6945,4479
6946,3323
6947,2843
6948,903
6949,1643
6950,2132
6951,1021
6952,349
6955,818
6956,676
6957,453
6958,241
6959,426
6960,838
6961,3742
6962,8167
6963,8073
6964,4312
6965,2313
6966,923
6971,599
6974,255
6975,1459
6976,1478
6977,1277
6980,511
6981,1345
6982,428
7000,1522
7001,2861
7002,507
7027,737
7028,1525
7029,516
7031,280
7032,1412
7035,509
7036,1927
7037,2276
7038,1462
7039,293
7063,1226
7064,1401
7065,303
7072,232
7073,443
7074,320
7079,755
7080,645
7081,278
7082,278
7085,814
7086,1648
7087,1806
7088,962
7089,246
7117,1740
7118,2751
7119,510
7124,680
7125,1634
7126,390
7232,243
7233,1554
7234,272
7238,355
7239,582
7240,258
7241,412
7252,652
7253,4811
7254,4485
7255,2920
7256,1428
7257,418
7264,615
7267,881
7268,1724
7269,290
7272,9544
7273,12043
7274,9060
7275,5020
7276,3966
7277,4518
7278,2232
7279,5998
7280,11761
7281,11508
7282,9517
7283,6260
7284,3303
7285,1607
7286,1616
7287,622
7288,266
7289,269
7290,300
7291,313
7292,250
7293,319
7294,844
7295,820
7296,1124
7297,354
7298,412
7299,362
7300,1202
7301,768
7302,1713
7303,742
7304,489
7305,1395
7306,1145
7307,894
7308,2316
7309,4034
7310,4646
7311,6108
7312,10868
7313,9421
7314,6910
7315,6164
7316,7369
7317,9633
7318,6534
7319,3461
7320,2062
7321,1515
7322,1074
7323,919
7324,932
7325,757
7326,675
7327,624
7328,1233
7329,1626
7330,769
7331,534
7332,437
7333,333
7334,232
7335,742
7336,3145
7337,2148
7338,1650
7339,3051
7340,3556
7341,2261
7342,1253
7343,930
7344,730
7345,635
7346,554
7347,426
7348,299
7349,207
7358,568
7359,1398
7360,567
7361,1304
7362,2614
7363,1599
7364,770
7365,586
7366,536
7367,503
7368,854
7369,2115
7370,4193
7371,5735
7372,6974
7373,7464
7374,5385
7375,3628
7376,2573
7377,3669
7378,5801
7379,4331
7380,3162
7381,2427
7382,2036
7383,1583
7384,1163
7385,891
7386,711
7387,601
7388,491
7389,414
7390,378
7391,317
7392,313
7393,343
7394,359
7395,351
7396,325
7397,239
7400,229
7401,362
7402,574
7403,1085
7404,509
7405,435
7406,1388
7407,1408
7408,845
7409,410
7410,699
7411,1752
7412,1540
7413,1017
7414,1130
7415,2125
7416,2397
7417,3048
7418,2310
7419,1569
7420,1113
7421,1154
7422,1818
7423,1487
7424,1169
7425,883
7426,719
7427,602
7428,749
7429,1035
7430,951
7431,1408
7432,1588
7433,1329
7434,1459
7435,980
7436,726
7437,652
7438,550
7439,445
7440,458
7441,328
7442,214
7470,537
7471,223
7534,798
7535,435
7567,463
7615,643
7616,2663
7617,1137
7628,613
7629,1441
7630,2356
7631,1056
7634,298
7635,261
7637,689
7638,1999
7639,1752
7668,520
7669,719
7670,338
7673,841
7721,382
7722,621
7723,579
7724,432
7726,1789
7727,2720
7728,1202
7729,725
7730,518
7731,346
7732,3056
7733,6966
7734,5268
7735,3480
7736,3074
7737,671
7740,514
7741,1974
7742,4239
7743,2150
7744,629
7750,232
7751,1175
7752,627
7753,1200
7754,217
7756,2432
7757,6361
7758,3065
7759,890
7760,219
7764,915
7765,2428
7766,886
7901,222
7911,340
7912,1496
7913,816
7914,2073
7915,807
7922,432
7985,331
7986,506
7987,735
7988,616
7989,2288
7990,684
7991,243
7994,1687
7995,3667
7996,2522
7997,1183
7998,1268
7999,2743
8000,4183
8001,1850
8002,318
8006,858
8007,1580
8008,426
8010,732
8011,625
8012,1213
8013,3202
8014,2634
8015,1196
8016,1586
8017,4651
8018,7279
8019,5188
8020,2799
8021,1696
8022,656
8024,452
8025,1156
8026,1624
8027,1993
8028,1432
8029,818
8030,327
8031,297
8032,699
8033,221
8036,532
8037,561
8038,487
8039,320
8040,212
8050,397
8055,688
8056,4337
8057,1489
8058,829
8059,298
8060,552
8061,910
8062,551
8063,4147
8064,7891
8065,7421
8066,8024
8067,8337
8068,7488
8069,5228
8070,3143
8071,1824
8072,982
8073,583
8074,365
8075,252
8084,2091
8085,1327
8086,2077
8087,2666
8088,1426
8089,753
8090,545
8091,375
8092,309
8093,328
8094,264
8097,1279
8098,1000
8099,519
8247,381
8391,428
8392,1216
8393,673
8394,345
8395,579
8398,797
8399,1107
8400,442
8401,780
8411,251
8412,1061
8420,667
8423,268
8424,770
8425,684
8426,619
8427,441
8438,535
8439,1016
8441,252
8442,908
8443,537
8448,257
8449,1876
8450,2281
8451,678
8460,218
8461,3555
8462,3544
8463,5070
8464,6190
8465,5047
8466,4261
8467,1483
8468,312
8471,268
8472,451
8540,554
8606,497
8652,765
8653,5071
8654,3571
8655,2349
8656,1589
8657,373
8661,401
8662,1377
8663,1469
8664,291
8667,250
8668,479
8687,257
8694,1779
8695,1306
8707,266
8708,1556
8709,678
8710,1435
8711,430
8719,335
8720,1138
8721,945
8725,331
8726,1735
8727,3144
8728,2939
8729,2490
8730,410
8733,553
8780,460
8787,778
8788,925
8795,663
8800,825
8801,469
8802,2488
8803,6266
8804,6875
8805,5272
8806,5098
8807,2749
8808,1439
8809,235
8839,383
8871,799
8872,1173
8873,1211
8885,406
8901,450
8902,509
8903,268
8904,517
9080,2526
9081,3897
9082,578
9093,2565
9094,3233
9095,636
9102,329
9103,1282
9104,1125
9105,581
9106,1917
9107,685
9108,2046
9109,2948
9110,1250
9111,2025
9112,2098
9113,205
9115,303
9126,706
9127,615
9131,288
9132,1840
9133,1412
9134,957
9135,763
9136,480
9172,395
9180,317
9246,271
9247,996
9248,820
9251,357
9407,213
9425,445
9436,300
9453,276
9454,495
9455,204
9457,343
9458,551
9459,560
9460,1880
9461,593
9462,236
9465,274
9480,282
9481,1270
9482,581
9483,205
9484,546
9485,2066
9486,1725
9489,845
9490,2559
9491,890
9492,689
9493,1067
9495,1418
9496,2004
9497,3010
9498,4514
9499,5038
9500,5278
9501,3124
9502,3413
9503,2565
9504,762
9505,1125
9506,3960
9507,1618
9508,4387
9509,5662
9510,4281
9511,882
9525,746
9526,650
9527,838
9534,627
9535,2219
9536,4781
9537,4327
9538,3811
9539,3101
9540,2916
9541,2421
9542,754
9543,584
9544,3305
9545,1124
9546,964
9547,512
9548,234
9557,686
9567,528
9568,1783
9569,684
9570,365
9571,360
9580,254
9581,441
9582,241
9585,756
9587,399
9588,1921
9589,1901
9590,5402
9591,6621
9592,2659
9593,853
9594,217
9660,622
9674,1696
9675,942
9676,270
9691,731
9692,2666
9693,1401
9694,320
9697,476
9700,346
9701,1486
9702,3504
9703,3177
9704,1945
9705,767
9706,478
9707,272
9708,759
9709,843
9710,1504
9711,1168
9712,925
9713,842
9727,2020
9728,3760
9729,2509
9730,1172
9731,661
9732,225
9733,208
9734,414
9744,404
9757,364
9816,806
9849,422
9850,579
9851,613
9852,890
9853,212
9866,780
9867,2688
9868,1909
9869,2364
9870,906
9887,266
9888,1388
9889,1121
9890,287
9893,494
9897,333
9899,315
9900,1283
9901,2202
9902,1233
9903,1664
9904,1085
9905,4151
9906,7202
9907,7323
9908,4193
9909,3164
9910,3969
9911,4316
9912,4650
9913,3518
9914,1933
9915,1172
9916,2821
9917,3992
9918,3228
9919,1276
9920,525
9922,408
9923,701
9944,599
9945,480
9946,227
9948,849
9949,350
9957,403
9959,262
9966,418
9967,3140
9968,586
10039,575
10047,262
10083,511
10110,209
10111,669
10114,392
10117,616
10118,211
10121,284
10123,513
10139,238
10140,3422
10141,6725
10142,3715
10143,1767
10144,617
10169,585
10170,2610
10171,547
10172,326
10174,499
10175,1316
10176,1221
10188,938
10189,1588
10190,3547
10191,5456
10192,1092
10198,642
10205,487
10206,1982
10207,1579
10208,201
10210,358
10238,231
10239,2292
10240,1620
10241,438
10244,374
10246,970
10268,341
10269,1096
10279,936
10280,1141
10297,2709
10298,4947
10299,3851
10300,2277
10301,1461
10302,789
10303,331
10304,523
10305,571
10306,304
10455,1336
10456,1456
10457,379
10467,200
10468,211
10476,532
10484,213
10489,705
10493,435
10503,1679
10504,2126
10505,626
10508,259
10551,333
10552,697
10553,454
10554,373
10555,717
10556,439
10557,291
10558,288
10562,1453
10563,4168
10564,1270
10565,639
10574,493
10575,1375
10576,708
10577,238
10578,2030
10579,4034
10580,4367
10581,4395
10582,2229
10583,3105
10584,3748
10585,2817
10586,4501
10587,4319
10588,2101
10589,1042
10590,2931
10591,3134
10592,1218
10593,522
10594,763
10596,243
10597,2214
10598,808
10599,218
10616,207
10621,589
10637,246
10638,1860
10639,1734
10640,1114
10641,428
10644,558
10645,1285
10646,577
10650,212
10675,405
10676,339
10678,328
10679,1591
10680,2313
10681,3337
10682,2156
10683,1026
10684,443
10711,672
10712,752
10713,401
10715,326
10716,289
10717,235
10718,729
10823,202
10824,257
10857,254
10859,273
10860,1867
10861,983
10862,346
10879,271
10888,394
10889,256
10897,611
10898,606
10899,401
10925,511
10929,894
10930,1725
10931,1938
10932,451
10934,365
10935,756
10937,220
10938,1844
10939,443
10944,330
10945,483
10946,285
